Date,CAC Index,AC FP Equity,AF FP Equity,AI FP Equity,ALU FP Equity,ALO FP Equity,MT NA Equity,CS FP Equity,BNP FP Equity,EN FP Equity,CAP FP Equity,CA FP Equity,ACA FP Equity,BN FP Equity,DEXB BB Equity,EAD FP Equity,EDF FP Equity,EI FP Equity,FTE FP Equity,GSZ FP Equity,OR FP Equity,LG FP Equity,MMB FP Equity,MC FP Equity,ML FP Equity,RI FP Equity,UG FP Equity,PP FP Equity,RNO FP Equity,SGO FP Equity,SAN FP Equity,SU FP Equity,GLE FP Equity,STM FP Equity,SEV FP Equity,FP FP Equity,UL FP Equity,VK FP Equity,VIE FP Equity,DG FP Equity,VIV FP Equity,TEC FP Equity
2005-02-22,4002.33,33.4761,14.21,56.8182,9.82,14.2,29.99,18.8907,52.8465,31.8,25.87,40.19,20.545,34.9608,17.6,23.45,,27.1,22.7745,,59.8,67.5039,58.3064,56.4,53.4,42.5732,50.4,83.5,67.9,42.7084,59.9,57.909,70.2391,13.39,,43.4238,89.7046,31.0525,25.7719,26.5822,23.85,31.7983
2005-02-23,3977.19,33.3342,14.29,56.5289,9.94,14.0,29.31,18.6799,52.6055,31.62,26.09,39.59,20.2908,34.7013,17.58,23.36,,26.875,23.0037,,59.45,67.4605,58.0645,55.7,52.15,42.188,48.0,82.7,67.0,42.1997,59.3,58.107,69.7984,13.34,,43.2018,90.637,30.3926,25.6638,26.8277,23.71,31.7261
2005-02-24,3977.67,33.1262,14.15,56.1983,9.89,14.0,30.15,19.0345,52.6537,31.95,27.85,39.21,20.191,35.008,17.5,23.73,,26.725,23.0435,,58.85,66.4614,57.5323,55.65,52.8,42.4577,49.5,82.7,68.45,41.4365,58.85,57.8595,69.5781,13.31,,43.2758,90.2935,30.7614,25.1525,26.8031,23.91,31.6297
2005-02-25,4034.57,33.5706,14.22,56.9421,10.02,13.8,30.85,19.4179,53.0876,32.32,28.48,39.3,20.427,35.3854,17.78,23.78,,26.975,23.1332,,59.05,68.112,57.9194,55.9,54.2,42.2265,49.91,84.05,68.8,42.5267,59.95,59.4434,70.4154,13.53,,44.3367,91.0786,31.9258,25.7031,27.1713,24.1,32.2079
2005-02-28,4027.16,33.4666,14.34,56.0744,9.85,14.0,31.85,19.4658,52.8465,32.74,28.27,39.55,20.3453,35.5034,17.94,23.74,,26.5,22.7147,,59.15,68.3727,57.1935,55.95,53.9,41.61,49.48,84.25,68.4,42.445,60.4,59.6908,70.3272,13.48,,44.238,91.7656,31.8482,25.8309,27.245,23.84,32.3042
2005-03-01,4054.98,33.8165,14.59,56.2397,9.97,13.8,30.85,19.8013,53.0876,32.78,28.14,39.94,20.5178,35.9044,17.91,24.04,,26.475,22.9439,,59.65,68.2858,57.871,56.3,54.0,42.1494,49.39,84.05,68.0,42.8175,61.5,59.5424,70.6797,13.85,,44.2133,90.637,31.7317,26.1652,27.4413,23.9,32.3042
2005-03-02,4062.72,33.8827,14.53,56.9421,10.05,14.0,31.55,19.8204,53.2805,32.11,28.01,40.06,20.6086,35.9988,17.97,24.0,,26.675,23.1929,,59.75,68.1555,57.1935,56.45,53.45,41.8412,49.2,84.2,67.75,42.4268,62.4,59.6908,70.0628,13.89,,44.3614,90.5388,31.5183,25.6244,27.6868,23.85,31.7742
2005-03-03,4061.35,33.703,14.45,56.4463,10.01,14.0,31.89,19.8683,53.1841,31.79,27.77,39.99,20.5723,35.928,17.68,23.77,,26.725,22.8642,,59.2,67.0261,56.7581,56.2,53.35,42.7274,49.02,84.15,68.0,42.2542,63.05,60.5818,69.7984,13.7,,44.5834,88.8213,31.8676,25.4081,28.0304,23.98,31.822400000000002
2005-03-04,4091.58,33.5706,14.34,57.0248,9.98,14.2,32.4,19.9067,53.4734,31.53,27.69,40.05,20.9173,35.7864,18.05,23.8,,26.675,23.1631,,59.9,67.4605,56.5161,57.6,54.9,42.7659,49.1,85.05,68.2,42.3178,63.65,62.0666,70.1069,13.6,,45.0769,90.4897,32.1393,25.9194,28.0058,23.97,32.521
2005-03-07,4108.0,33.6463,14.39,58.6364,10.17,14.6,32.16,20.0696,53.4252,31.58,27.4,40.23,20.8265,36.0931,18.24,23.66,,26.725,23.4022,,59.2,67.6777,56.5645,57.9,55.5,43.0741,49.59,84.85,68.4,42.5086,64.3,62.2646,70.2391,13.63,,44.8795,89.6555,32.0229,26.0177,28.2513,24.33,32.0633
2005-03-08,4085.38,33.7787,14.56,57.8099,10.07,14.4,30.02,19.8396,53.7145,31.41,27.26,40.34,20.89,35.81,18.23,23.9,,26.6,23.183,,59.2,67.808,57.4355,57.9,55.5,42.4577,49.48,84.8,68.9,42.7448,62.8,61.8686,70.0188,13.42,,44.9042,89.5083,32.2169,25.4966,28.0304,24.08,31.967
2005-03-09,4066.69,34.9702,14.5,57.8512,10.12,14.4,30.25,19.6575,53.2805,31.18,26.8,40.5,20.0003,35.8572,18.27,23.15,,27.025,23.1033,,59.6,67.3736,56.8548,57.2,55.25,41.9953,49.31,83.1,68.75,42.5177,62.0,61.3242,69.4019,13.45,,45.0275,89.3611,33.8666,25.0541,27.9322,24.14,31.6779
2005-03-10,4038.21,36.2279,14.36,57.3967,9.89,14.2,29.1,19.6287,53.1359,30.78,27.1,40.18,19.8369,35.6213,18.15,22.78,,26.725,22.615099999999998,,60.0,66.8523,55.7419,57.0,55.6,41.8797,49.75,82.95,68.75,42.3996,62.2,60.6313,69.7544,13.37,,44.2133,88.3306,32.9738,25.2016,27.5886,23.44,30.5939
2005-03-11,4049.18,36.0104,14.16,57.1488,9.91,14.0,29.57,19.945,53.3287,30.63,27.04,40.69,19.8823,35.3618,18.1,22.36,,26.7,22.645,,60.65,66.4614,56.0323,57.1,55.05,42.8429,49.56,82.8,69.15,42.3814,62.2,59.8393,70.5035,13.4,,44.2874,87.938,32.5081,25.2704,27.6131,23.47,30.5939
2005-03-14,4048.55,36.4076,13.95,57.7686,9.82,14.6,29.39,20.0504,53.4252,30.55,27.17,40.51,19.7552,35.5741,18.06,22.17,,27.05,22.615099999999998,,60.45,66.8523,56.0806,57.5,54.35,42.997,49.69,82.85,68.8,42.5813,61.85,60.6807,70.5035,13.34,,44.4107,88.0852,32.1781,25.3098,27.5886,23.25,30.8347
2005-03-15,4077.74,36.644,14.13,58.1818,9.84,14.4,30.0,20.4817,53.7145,30.89,27.89,40.41,19.7643,35.6213,17.99,22.66,,27.325,22.7247,,60.45,67.0261,56.6129,57.4,51.55,43.2667,49.58,83.9,68.6,43.0537,62.9,60.9777,71.1204,13.18,,45.0522,90.3916,32.6245,25.4671,27.6131,23.31,30.9311
2005-03-16,4019.4,36.3319,14.0,57.6446,9.65,13.8,27.88,19.7246,52.509,30.61,27.55,39.95,19.501,35.3382,17.68,22.22,,27.0,22.1967,,59.8,65.5926,55.5484,56.6,50.95,42.9585,48.6,83.3,67.0,42.2633,62.7,60.1858,69.7984,13.04,,44.5094,88.1343,32.7021,25.8408,27.7849,22.91,30.9311
2005-03-17,4032.07,35.8213,13.82,58.0579,9.7,14.0,27.96,19.7246,52.7983,30.76,27.29,39.6,19.5736,35.527,17.77,22.31,,27.05,22.615099999999998,,59.45,65.7229,55.9355,56.85,51.0,42.1494,48.63,83.0,67.2,42.4722,62.9,60.3838,70.195,12.98,,44.5588,87.3491,32.8962,26.0866,27.6868,23.32,31.1961
2005-03-18,4050.77,35.5187,13.6,58.4711,9.67,14.2,27.5,19.8588,53.1359,30.88,26.95,39.86,19.6644,35.6921,17.67,22.08,,26.95,22.7347,,60.0,66.027,56.129,57.25,50.9,42.3035,48.63,82.55,67.85,42.5903,63.15,60.3838,70.4594,12.89,,45.0769,87.5945,32.9933,26.1849,27.6868,23.63,31.2202
